订单id,乘客人数,出发地坐标经纬度,目的地坐标经纬度,服务时间,最早服务时间,最晚服务时间,订单类型
1,1,41;49,115;129,3,161,251,0
2,1,35;17,104;81,2,50,140,0
3,2,55;45,153;143,2,116,206,0
4,2,55;20,117;104,2,149,239,0
5,3,15;30,100;115,3,34,124,0
6,1,25;30,86;117,4,99,189,0
7,1,20;50,81;121,1,81,171,0
8,1,10;43,105;125,4,95,185,0
9,2,55;60,142;156,3,97,187,0
10,2,30;60,121;124,3,124,214,0
11,2,20;65,102;158,2,67,157,0
12,2,50;35,122;117,3,63,153,0
13,3,30;25,111;121,4,159,249,0
14,2,15;10,113;85,2,32,122,0
15,1,30;5,97;71,2,61,151,0
16,2,10;20,81;98,2,75,165,0
17,1,5;30,94;122,2,157,247,0
18,2,20;40,107;119,3,87,177,0
19,2,15;60,110;134,2,76,166,0
20,1,45;65,128;136,4,126,216,0
21,2,107;93,45;20,2,62,152,1
22,2,138;94,45;10,2,97,187,1
23,3,136;96,55;5,1,68,158,1
24,1,138;123,65;35,3,153,243,1
25,1,152;84,65;20,3,172,262,1
26,2,127;127,45;30,4,132,222,1
27,2,132;119,35;40,2,37,127,1
28,2,104;118,41;37,3,39,129,1
29,1,133;120,64;42,4,63,153,1
30,3,136;155,40;60,3,71,161,1
31,3,121;114,31;52,3,50,140,1
32,3,103;155,35;69,2,141,231,1
33,2,113;134,53;52,2,37,127,1
34,2,149;123,65;55,4,117,207,1
35,1,129;130,63;65,4,143,233,1
36,1,72;129,2;60,3,41,131,1
37,1,90;110,20;20,2,134,224,1
38,2,71;86,5;5,4,83,173,1
39,4,153;100,60;12,2,44,134,1
40,1,129;108,40;25,1,85,175,1
41,1,106;101,42;7,2,97,187,1
42,1,120;72,24;12,3,31,121,1
43,1,89;79,23;3,3,132,222,1
44,2,82;102,11;14,2,69,159,1
45,2,90;137,6;38,2,32,122,1
46,1,88;111,2;48,3,117,207,1
47,3,85;134,8;56,4,51,141,1
48,4,111;114,13;52,4,165,255,1
49,3,75;149,6;68,4,108,198,1
50,2,140;142,47;47,2,124,214,1
51,2,148;136,49;58,1,88,178,1
52,1,111;113,27;43,4,52,142,1
53,2,114;117,37;31,3,95,185,1
54,2,150;115,57;29,2,140,230,1
55,1,144;108,63;23,1,136,226,1
56,1,117;104,53;12,3,130,220,1
57,1,122;101,32;12,1,101,191,1
58,2,113;99,36;26,4,200,290,1
59,3,98;116,21;24,2,18,108,1
60,1,103;104,17;34,1,162,252,1
61,2,73;120,12;24,1,76,166,1
62,2,119;125,24;58,1,58,148,1
63,2,102;143,27;69,3,34,124,1
64,1,106;149,15;77,3,73,163,1
65,2,152;167,62;77,3,51,141,1
66,3,130;137,49;73,3,127,217,1
67,3,133;95,67;5,2,83,173,1
68,4,143;130,56;39,4,142,232,1
69,1,104;124,37;47,2,50,140,1
70,1,114;123,37;56,4,182,272,1
71,2,150;151,57;68,4,77,167,1
72,3,132;105,47;16,2,35,125,1
73,1,113;115,44;17,4,78,168,1
74,1,127;101,46;13,3,149,239,1
75,2,131;97,49;11,4,69,159,1
76,2,135;132,49;42,4,73,163,1
77,2,126;111,53;43,1,179,269,1
78,1,141;143,61;52,4,96,186,1
79,3,119;123,57;48,1,92,182,1
80,1,126;136,56;37,4,182,272,1
81,3,139;131,55;54,3,94,184,1
82,2,103;110,15;47,4,55,145,1
83,2,109;98,14;37,4,44,134,1
84,1,73;121,11;31,1,101,191,1
85,4,87;118,16;22,2,91,181,1
86,4,78;98,4;18,4,94,184,1
87,3,124;99,28;18,2,93,183,1
88,1,114;151,26;52,2,74,164,1
89,2,114;99,26;35,1,176,266,1
90,1,92;141,31;67,2,95,185,1
91,1,88;118,15;19,3,160,250,1
92,1,100;100,22;22,4,18,108,1
93,3,98;112,18;24,2,188,278,1
94,3,93;114,26;27,2,100,190,1
95,2,93;97,25;24,1,39,129,1
96,2,90;90,22;27,4,135,225,1
97,2,92;102,25;21,2,133,223,1
98,1,109;98,19;21,3,58,148,1
99,1,93;120,20;26,4,83,173,1
100,2,107;94,18;18,1,185,275,1
