订单id,乘客人数,出发地坐标经纬度,目的地坐标经纬度,服务时间,最早服务时间,最晚服务时间,订单类型
1,2,118.32816086844944;24.565217196852792,117.30300261716826;23.60532134800251,4,2023/2/20 10:00,2023/2/20 12:10,0
2,1,118.33668369817401;24.566943064632977,117.1979608545598;24.30380879133591,3,2023/2/20 7:30,2023/2/20 10:00,0
3,2,118.34390158339252;24.55156529908055,117.38133992135411;24.914915022165438,4,2023/2/20 17:40,2023/2/20 19:30,0
4,1,118.36814448862074;24.558612706710335,117.58216561224715;24.09427278657623,2,2023/2/20 16:40,2023/2/20 18:30,0
5,2,118.08179967019686;24.444154189254792,117.13527926491943;24.347832353108917,3,2023/2/20 15:40,2023/2/20 17:00,0
6,2,118.04282220584527;24.844671435993817,117.2818625899699;24.623479815335592,3,2023/2/20 17:20,2023/2/20 19:00,0
7,2,118.01274518542661;24.460680314508338,117.16799963224197;24.10074821864453,4,2023/2/20 9:00,2023/2/20 11:20,0
8,2,118.11953370573046;24.66289118272465,117.31254804920866;24.70748215610068,4,2023/2/20 6:10,2023/2/20 8:20,0
9,1,117.97532687443403;24.524460219450532,117.18442205947635;23.650446179695113,3,2023/2/20 6:30,2023/2/20 9:00,0
10,3,118.10963911352219;24.504553321031235,117.19093379474;23.859667947614092,2,2023/2/20 17:00,2023/2/20 19:10,0
11,1,117.42882294225865;24.2390475939405,118.30740456574733;24.671130067182656,2,2023/2/20 18:40,2023/2/20 21:40,1
12,3,117.83333131059955;24.24132283189552,118.2276858553305;24.586480854335832,4,2023/2/20 19:20,2023/2/20 21:30,1
13,2,117.07838986630665;24.27736099930694,118.1638993684695;24.888118577031722,2,2023/2/20 18:00,2023/2/20 20:30,1
14,1,117.67214833822783;24.51709484727192,118.05245904722545;24.60198824616445,1,2023/2/20 17:30,2023/2/20 20:30,1
15,2,117.3983418188288;24.570793424813964,118.3334102061793;24.682577544904603,1,2023/2/20 8:30,2023/2/20 11:40,1
16,2,117.49844361231806;24.57013177129029,118.14318419056232;24.818482432089866,2,2023/2/20 12:00,2023/2/20 14:20,1
17,1,117.21715553010321;23.979376797491398,118.1716509875909;24.851166530779984,1,2023/2/20 11:10,2023/2/20 14:30,1
18,1,117.5756738580353;24.01271907724218,118.02251405357303;24.771266123388244,4,2023/2/20 13:00,2023/2/20 16:30,1
19,1,117.80728293826054;24.433130321183825,118.16311836502156;24.518314458692604,1,2023/2/20 13:00,2023/2/20 16:00,1
20,1,117.24540803231973;24.653182380033265,118.30801060452316;24.62654892720114,3,2023/2/20 9:00,2023/2/20 12:00,1
